row_id,emoji,unicode,unicode_slug,name,unicode_description,emojinet_name,emojinet_category,emojinet_shortcode,emojinet_definition,emojinet_keywords,canonical_unicode_image_path,available_vendor_count,available_vendors,has_apple,has_google,has_facebook,has_windows,has_twitter,has_joypixels,has_samsung,has_gmail,has_softbank,has_docomo,has_kddi,emotion_primary,sentiment,has_tears,has_sweat,has_hearts,has_tongue,has_glasses,has_mask,has_halo,has_horns,has_hat,has_temperature
11,😉,U+1F609,U+1F609,winking face,winking face,winking face,Emoticons -> Faces,:wink:,"A classic winky emoji; winking and smiling. Used  to imply humor in written form, or may alternatively be used suggestively, as a form of fl http://emojipedia.org/winking-face/",wink|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0011_u1f609.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1,other,mixed,0,0,0,0,0,0,0,0,0,0
12,😊,U+1F60A,U+1F60A,smiling face with smiling eyes,smiling face with smiling eyes,smiling face with smiling eyes,Emoticons -> Faces,:blush:,"A smiling face, with smiling eyes and rosy cheeks. Showing a true sense of happiness. This emoji smiles with its mouth closed, which makes i http://emojipedia.org/smiling-face-with-smiling-eyes/",eye|smile|face|blush,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0012_u1f60a.png,10,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|KDDI,1,1,1,1,1,1,1,1,1,0,1,joy,positive,0,0,0,0,0,0,0,0,0,0
13,😇,U+1F607,U+1F607,smiling face with halo,smiling face with halo,smiling face with halo,Emoticons -> Faces,:innocent:,"A face with a halo above it, used to represent an angel, or a good person / person who has done a good deed. Smiling Face With Halo was appr http://emojipedia.org/smiling-face-with-halo/",innocent|smile|fairy tale|fantasy|face|halo|angel,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0013_u1f607.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,joy,positive,0,0,0,0,0,0,1,0,0,0
14,🥰,U+1F970,U+1F970,smiling face with hearts,smiling face with hearts,,,,,,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0014_u1f970.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,love,positive,0,0,1,0,0,0,0,0,0,0
15,😍,U+1F60D,U+1F60D,smiling face with heart-eyes,smiling face with heart-eyes,smiling face with heart-eyes,Emoticons -> Faces,:heart_eyes:,"A face with hearts instead of eyes, or Heart Eyes Emoji as it is generally known. Used as an expression of love, for example:  “I love you”  http://emojipedia.org/smiling-face-with-heart-shaped-eyes/",eye|smile|love|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0015_u1f60d.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1,love,positive,0,0,1,0,0,0,0,0,0,0
16,🤩,U+1F929,U+1F929,star-struck,star-struck,,,,,,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0016_u1f929.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,other,mixed,0,0,0,0,0,0,0,0,0,0
17,😘,U+1F618,U+1F618,face blowing a kiss,face blowing a kiss,face blowing a kiss,Emoticons -> Faces,:kissing_heart:,"An emoji face blowing a kiss; but officially called “Face Throwing A Kiss”. One eye is open, the other is winking. A heart is shown leaving  http://emojipedia.org/face-throwing-a-kiss/",kiss|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0017_u1f618.png,10,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|KDDI,1,1,1,1,1,1,1,1,1,0,1,love,positive,0,0,0,0,0,0,0,0,0,0
18,😗,U+1F617,U+1F617,kissing face,kissing face,kissing face,Emoticons -> Faces,:kissing:,"This emoji is kissing, but also looks like a whistling emoji, or blowing air. A bit more of an ‘innocent, I’m pretending I didn’t do anythin http://emojipedia.org/kissing-face/",kiss|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0018_u1f617.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,love,positive,0,0,0,0,0,0,0,0,0,0
19,☺,U+263A,U+263A,smiling face,,smiling face,Miscellaneous Symbols -> Emoticons,:relaxed:,"This smiling face predates emoji, and works in all manner of older browsers and operating systems. The modern version of this emoji has a sm http://emojipedia.org/white-smiling-face/",smile|relaxed|outlined|face,,10,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|KDDI,1,1,1,1,1,1,1,1,1,0,1,joy,positive,0,0,0,0,0,0,0,0,0,0
20,😚,U+1F61A,U+1F61A,kissing face with closed eyes,kissing face with closed eyes,kissing face with closed eyes,Emoticons -> Faces,:kissing_closed_eyes:,"A face with pursed lips, slightly blushing while making kissing motion. More intimate than the regular kissing face emoji, due to the eyes b http://emojipedia.org/kissing-face-with-closed-eyes/",kiss|eye|closed|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0020_u1f61a.png,10,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|KDDI,1,1,1,1,1,1,1,1,1,0,1,love,positive,0,0,0,0,0,0,0,0,0,0
21,😙,U+1F619,U+1F619,kissing face with smiling eyes,kissing face with smiling eyes,kissing face with smiling eyes,Emoticons -> Faces,:kissing_smiling_eyes:,"This emoji is kissing, but also looks like a whistling emoji, or blowing air. A bit more of an ‘innocent, I’m pretending I didn’t do anythin http://emojipedia.org/kissing-face-with-smiling-eyes/",kiss|eye|smile|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0021_u1f619.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,love,positive,0,0,0,0,0,0,0,0,0,0
22,🥲,U+1F972,U+1F972,smiling face with tear,smiling face with tear,,,,,,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0022_u1f972.png,4,Apple|Google|Twitter|JoyPixels,1,1,0,0,1,1,0,0,0,0,0,joy,positive,1,0,0,0,0,0,0,0,0,0
23,😋,U+1F60B,U+1F60B,face savoring food,face savoring food,face savouring delicious food,Emoticons -> Faces,:yum:,"A friendly, goofy smile with tongue hanging out the side of the mouth. Used to indicate a silly happiness. Face Savouring Delicious Food was http://emojipedia.org/face-savouring-delicious-food/",savouring|smile|yum|um|delicious|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0023_u1f60b.png,9,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|DoCoMo,1,1,1,1,1,1,1,1,0,1,0,joy,positive,0,0,0,0,0,0,0,0,0,0
24,😛,U+1F61B,U+1F61B,face with tongue,face with tongue,face with stuck-out tongue,Emoticons -> Faces,:stuck_out_tongue:,A cheeky face sticking its tongue out in jest. Used as a way of stating “I’m kidding” or generally being jovial and not serious. Face With S http://emojipedia.org/face-with-stuck-out-tongue/,face|tongue,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0024_u1f61b.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,playful,positive,0,0,0,1,0,0,0,0,0,0
25,😜,U+1F61C,U+1F61C,winking face with tongue,winking face with tongue,face with stuck-out tongue & winking eye,Emoticons -> Faces,:stuck_out_tongue_winking_eye:,"A face showing a stuck-out tongue, winking at the same time. Used in an attempt to be wacky, zany, or otherwise joking. Face With Stuck-out  http://emojipedia.org/face-with-stuck-out-tongue-and-winking-eye/",eye|wink|face|tongue|joke,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0025_u1f61c.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1,playful,positive,0,0,0,1,0,0,0,0,0,0
26,🤪,U+1F92A,U+1F92A,zany face,zany face,,,,,,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0026_u1f92a.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,joy,positive,0,0,0,0,0,0,0,0,0,0
27,😝,U+1F61D,U+1F61D,squinting face with tongue,squinting face with tongue,face with stuck-out tongue & closed eyes,Emoticons -> Faces,:stuck_out_tongue_closed_eyes:,"Has both eyes closed, sticking tongue out. Face With Stuck-out Tongue & Closed Eyes was approved as part of Unicode 6.0 in 2010 under the na http://emojipedia.org/face-with-stuck-out-tongue-and-tightly-closed-eyes/",horrible|eye|face|tongue|taste,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0027_u1f61d.png,9,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank,1,1,1,1,1,1,1,1,1,0,0,playful,positive,0,0,0,1,0,0,0,0,0,0
28,🤑,U+1F911,U+1F911,money-mouth face,money-mouth face,money-mouth face,Supplemental Symbols And Pictographs -> Emoticon faces,,"A face with a bank note showing instead of a tongue, and dollar signs instead of eyes. Indicates a love of money, or a feeling of wealth. Mo http://emojipedia.org/money-mouth-face/",mouth|money|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0028_u1f911.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,playful,positive,0,0,0,0,0,0,0,0,0,0
29,🤗,U+1F917,U+1F917,hugging face,smiling face with open hands,hugging face,Supplemental Symbols And Pictographs -> Emoticon faces,,"A face displayed with an open hands gesture, offering a hug. Hugging Face was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 http://emojipedia.org/hugging-face/",hug|face|hugging,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0029_u1f917.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,joy,positive,0,0,0,0,0,0,0,0,0,0
30,🤭,U+1F92D,U+1F92D,face with hand over mouth,face with hand over mouth,,,,,,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0030_u1f92d.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,thinking,mixed,0,0,0,0,0,0,0,0,0,0
31,🤫,U+1F92B,U+1F92B,shushing face,shushing face,,,,,,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0031_u1f92b.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,thinking,mixed,0,0,0,0,0,0,0,0,0,0
32,🤔,U+1F914,U+1F914,thinking face,thinking face,thinking face,Supplemental Symbols And Pictographs -> Emoticon faces,,"A face shown with a single finger and thumb resting on the chin, glancing upward. Used to indicate thinking, or deep thought. Can be paired  http://emojipedia.org/thinking-face/",thinking|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0032_u1f914.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,thinking,neutral,0,0,0,0,0,0,0,0,0,0
33,🤐,U+1F910,U+1F910,zipper-mouth face,zipper-mouth face,zipper-mouth face,Supplemental Symbols And Pictographs -> Emoticon faces,,"A face with a zipper displayed instead of a mouth. Used to convey a secret, or that one will not discuss a certain matter with others aka “m http://emojipedia.org/zipper-mouth-face/",zipper|mouth|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0033_u1f910.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,thinking,mixed,0,0,0,0,0,0,0,0,0,0
34,🤨,U+1F928,U+1F928,face with raised eyebrow,face with raised eyebrow,,,,,,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0034_u1f928.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,thinking,mixed,0,0,0,0,0,0,0,0,0,0
35,😐,U+1F610,U+1F610,neutral face,neutral face,neutral face,Emoticons -> Faces,:neutral_face:,"A face featuring a straight-and-closed mouth, not giving away any particular emotion. Neutral Face was approved as part of Unicode 6.0 in 20 http://emojipedia.org/neutral-face/",deadpan|neutral|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0035_u1f610.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,neutral,neutral,0,0,0,0,0,0,0,0,0,0
36,😑,U+1F611,U+1F611,expressionless face,expressionless face,expressionless face,Emoticons -> Faces,:expressionless:,"A face with narrow, closed eyes, and a straight mouth. A deliberate display of ‘no comment’ as opposed to a completely neutral face. Express http://emojipedia.org/expressionless-face/",unexpressive|expressionless|inexpressive|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0036_u1f611.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,neutral,neutral,0,0,0,0,0,0,0,0,0,0
37,😶,U+1F636,U+1F636,face without mouth,face without mouth,face without mouth,Emoticons -> Faces,:no_mouth:,"This emoji has eyes, and no mouth. Represents silence, as this emoji is always silent. Imagine the things he would say if he had a mouth! Fa http://emojipedia.org/face-without-mouth/",silent|mouth|quiet|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0037_u1f636.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,neutral,neutral,0,0,0,0,0,0,0,0,0,0
38,😶‍🌫️,U+1F636 U+200D U+1F32B U+FE0F,U+1F636-U+200D-U+1F32B-U+FE0F,face in clouds,face in clouds,,,,,,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0038_u1f636_u200d_u1f32b_ufe0f.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1,surprised,mixed,0,0,0,0,0,0,0,0,0,0
39,😏,U+1F60F,U+1F60F,smirking face,smirking face,smirking face,Emoticons -> Faces,:smirk:,"A sly smile, often used with a sexual, or smug connotation. Not to be confused with the unamused face, which has similar eyes, but a displea http://emojipedia.org/smirking-face/",face|smirk,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0039_u1f60f.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1,neutral,mixed,0,0,0,0,0,0,0,0,0,0
40,😒,U+1F612,U+1F612,unamused face,unamused face,unamused face,Emoticons -> Faces,:unamused:,"This face is not amused. This is not a face of sadness, it is more of a grumpy, displeased look. Used to express dissatisfaction. The eyes a http://emojipedia.org/unamused-face/",unhappy|unamused|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0040_u1f612.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1,neutral,mixed,0,0,0,0,0,0,0,0,0,0
41,🙄,U+1F644,U+1F644,face with rolling eyes,face with rolling eyes,face with rolling eyes,Emoticons -> Faces,,"A face displaying eyes glancing upward, indicating an eye-roll. This is used to show disdain, contempt or boredom about a person or topic. C http://emojipedia.org/face-with-rolling-eyes/",rolling|eyes|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0041_u1f644.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,neutral,mixed,0,0,0,0,0,0,0,0,0,0
42,😬,U+1F62C,U+1F62C,grimacing face,grimacing face,grimacing face,Emoticons -> Faces,:grimacing:,"A grimace emoji, showing bared teeth, usually for when a mistake or unfavorable situation has arisen – aka “eek!” The appearance of this emo http://emojipedia.org/grimacing-face/",grimace|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0042_u1f62c.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,other,mixed,0,0,0,0,0,0,0,0,0,0
43,😮‍💨,U+1F62E U+200D U+1F4A8,U+1F62E-U+200D-U+1F4A8,face exhaling,face exhaling,,,,,,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0043_u1f62e_u200d_u1f4a8.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1,surprised,mixed,0,0,0,0,0,0,0,0,0,0
44,🤥,U+1F925,U+1F925,lying face,lying face,lying face,Supplemental Symbols And Pictographs -> Emoticon faces,,"A person with a long nose, used to indicate the telling of a lie. Lying Face was approved as part of Unicode 9.0 in 2016 and added to Emoji  http://emojipedia.org/lying-face/",lie|face|pinocchio,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0044_u1f925.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,thinking,mixed,0,0,0,0,0,0,0,0,0,0
45,😌,U+1F60C,U+1F60C,relieved face,relieved face,relieved face,Emoticons -> Faces,:relieved:,"Pleasantly content. Happy, but not over the top. Feeling a sense of relief over a situation, or to convey a calm or content state of mind. R http://emojipedia.org/relieved-face/",relieved|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0045_u1f60c.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1,neutral,mixed,0,0,0,0,0,0,0,0,0,0
46,😔,U+1F614,U+1F614,pensive face,pensive face,pensive face,Emoticons -> Faces,:pensive:,"A pensive, remorseful face. Saddened by life. Quietly considering where things all went wrong. Pensive Face was approved as part of Unicode  http://emojipedia.org/pensive-face/",dejected|pensive|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0046_u1f614.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1,neutral,mixed,0,0,0,0,0,0,0,0,0,0
47,😪,U+1F62A,U+1F62A,sleepy face,sleepy face,sleepy face,Emoticons -> Faces,:sleepy:,"Not to be confused with Sleeping Face Emoji, this sleepy-face emoji features a snot bubble coming out of the nose. This is used in anime and http://emojipedia.org/sleepy-face/",sleep|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0047_u1f62a.png,10,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|KDDI,1,1,1,1,1,1,1,1,1,0,1,sad,negative,0,0,0,0,0,0,0,0,0,0
48,🤤,U+1F924,U+1F924,drooling face,drooling face,drooling face,Supplemental Symbols And Pictographs -> Emoticon faces,,"A face shown with drool dripping from one side of the mouth. May be used as a display of desire in a person, object or concept. Not to be co http://emojipedia.org/drooling-face/",drooling|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0048_u1f924.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,sick,negative,0,0,0,0,0,0,0,0,0,0
49,😴,U+1F634,U+1F634,sleeping face,sleeping face,sleeping face,Emoticons -> Faces,:sleeping:,"Face with eyes closed, and a sleep symbol – Zzz – over the head Generally used instead of the Sleepy Face Emoji to indicate both sleeping, a http://emojipedia.org/sleeping-face/",zzz|sleep|face,/Users/ningzd/Desktop/Pic_Gen/data/processed/emoji_editing/images/unicode_256/0049_u1f634.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0,sad,negative,0,0,0,0,0,0,0,0,0,0
